well,cell_count,image_file,annotated
B10,668,B10_01_FL3_merge.jpg,B10_01_FL3_merge_annotated.jpg
B11,530,B11_01_FL3_merge.jpg,B11_01_FL3_merge_annotated.jpg
B12,604,B12_01_FL3_merge.jpg,B12_01_FL3_merge_annotated.jpg
B13,618,B13_01_FL3_merge.jpg,B13_01_FL3_merge_annotated.jpg
B14,604,B14_01_FL3_merge.jpg,B14_01_FL3_merge_annotated.jpg
B15,611,B15_01_FL3_merge.jpg,B15_01_FL3_merge_annotated.jpg
B16,535,B16_01_FL3_merge.jpg,B16_01_FL3_merge_annotated.jpg
B17,575,B17_01_FL3_merge.jpg,B17_01_FL3_merge_annotated.jpg
B18,526,B18_01_FL3_merge.jpg,B18_01_FL3_merge_annotated.jpg
B19,500,B19_01_FL3_merge.jpg,B19_01_FL3_merge_annotated.jpg
B20,495,B20_01_FL3_merge.jpg,B20_01_FL3_merge_annotated.jpg
B21,484,B21_01_FL3_merge.jpg,B21_01_FL3_merge_annotated.jpg
B22,460,B22_01_FL3_merge.jpg,B22_01_FL3_merge_annotated.jpg
B2,528,B2_01_FL3_merge.jpg,B2_01_FL3_merge_annotated.jpg
B3,553,B3_01_FL3_merge.jpg,B3_01_FL3_merge_annotated.jpg
B4,597,B4_01_FL3_merge.jpg,B4_01_FL3_merge_annotated.jpg
B5,623,B5_01_FL3_merge.jpg,B5_01_FL3_merge_annotated.jpg
B6,624,B6_01_FL3_merge.jpg,B6_01_FL3_merge_annotated.jpg
B7,586,B7_01_FL3_merge.jpg,B7_01_FL3_merge_annotated.jpg
B8,604,B8_01_FL3_merge.jpg,B8_01_FL3_merge_annotated.jpg
B9,666,B9_01_FL3_merge.jpg,B9_01_FL3_merge_annotated.jpg
C10,598,C10_01_FL3_merge.jpg,C10_01_FL3_merge_annotated.jpg
C11,525,C11_01_FL3_merge.jpg,C11_01_FL3_merge_annotated.jpg
C12,514,C12_01_FL3_merge.jpg,C12_01_FL3_merge_annotated.jpg
C13,536,C13_01_FL3_merge.jpg,C13_01_FL3_merge_annotated.jpg
C14,569,C14_01_FL3_merge.jpg,C14_01_FL3_merge_annotated.jpg
C15,628,C15_01_FL3_merge.jpg,C15_01_FL3_merge_annotated.jpg
C16,633,C16_01_FL3_merge.jpg,C16_01_FL3_merge_annotated.jpg
C17,608,C17_01_FL3_merge.jpg,C17_01_FL3_merge_annotated.jpg
C18,592,C18_01_FL3_merge.jpg,C18_01_FL3_merge_annotated.jpg
C19,534,C19_01_FL3_merge.jpg,C19_01_FL3_merge_annotated.jpg
C20,535,C20_01_FL3_merge.jpg,C20_01_FL3_merge_annotated.jpg
C21,520,C21_01_FL3_merge.jpg,C21_01_FL3_merge_annotated.jpg
C22,697,C22_01_FL3_merge.jpg,C22_01_FL3_merge_annotated.jpg
C2,421,C2_01_FL3_merge.jpg,C2_01_FL3_merge_annotated.jpg
C3,475,C3_01_FL3_merge.jpg,C3_01_FL3_merge_annotated.jpg
